eV,H,He,Li,U1,U2,U3,U4,U5
39.01542334,0,1.75E-112,1.42E-60,1.89E-256,1.34E-279,8.84E-39,3.71E-234,0.042319131
39.51329139,0,9.93E-119,3.81E-56,7.56E-266,2.07E-289,2.93E-35,2.47E-225,0.004875708
40.01751264,0,3.81E-125,6.93E-52,2.04E-275,2.17E-299,6.57E-32,1.11E-216,0.00038031
40.52816816,0,9.91E-132,8.54E-48,3.75E-285,0.00E+00,9.97E-29,3.39E-208,2.01E-05
41.04534005,0,1.74E-138,7.13E-44,4.65E-295,7.402e-320,1.02E-25,7.01E-200,7.18E-07
41.56911147,0,2.08E-145,4.03E-40,3.90E-305,0,7.13E-23,9.80E-192,1.74E-08
42.09956663,0,1.68E-152,1.54E-36,2.21871025e-315,0,3.36E-20,9.28E-184,2.85E-10
42.63679082,0,9.16E-160,3.99E-33,0,0,1.07E-17,5.94E-176,3.16E-12
43.18087042,0,3.39E-167,6.99E-30,0,0,2.31E-15,2.58E-168,2.37E-14
43.73189292,0,8.47E-175,8.30E-27,0,0,3.38E-13,7.58E-161,1.21E-16
44.2899469,0,1.44E-182,6.67E-24,0,0,3.35E-11,1.51E-153,4.15E-19
44.8551221,0,1.65E-190,3.63E-21,0,0,2.24E-09,2.03E-146,9.68E-22
45.42750939,0,1.28E-198,1.34E-18,0,0,1.02E-07,1.85E-139,1.53E-24
46.0072008,0,6.73E-207,3.33E-16,0,0,3.12E-06,1.14E-132,1.63E-27
46.59428954,0,2.40E-215,5.62E-14,0,0,6.49E-05,4.77E-126,1.18E-30
47.18887,0,5.78E-224,6.43E-12,0,0,0.000913994,1.35E-119,5.78E-34
47.79103778,0,9.42E-233,4.97E-10,0,0,0.008710102,2.58E-113,1.92E-37
48.4008897,0,1.04E-241,2.60E-08,0,0,0.056195567,3.35E-107,6.41E-38
49.01852382,0,7.79E-251,9.24E-07,0,0,0.245459433,2.94E-101,1.93E-34
49.64403945,0,3.94E-260,2.22E-05,0,0,0.725865666,1.75E-95,3.94E-31
50.27753716,0,1.35E-269,0.000360481,0,0,1.453220917,7.03E-90,5.45E-28
50.91911881,0,3.14E-279,0.00396707,0,0,1.969726295,1.91E-84,5.10E-25
51.56888756,0,4.93E-289,0.029556753,0,0,1.807502812,3.53E-79,3.23E-22
52.22694787,0,5.25E-299,0.149087914,0,0,1.122925483,4.41E-74,1.39E-19
52.89340556,0,0.00E+00,0.509128031,0,0,0.472304137,3.72E-69,4.03E-17
